number,available_bikes,available_bike_stands,last_update,status
1,29,2,"2025-02-16 14:04:35",OPEN
1,4,25,"2025-02-18 09:19:58",OPEN
2,0,20,"2025-02-16 14:01:02",OPEN
2,3,17,"2025-02-18 09:23:52",OPEN
3,10,10,"2025-02-16 14:03:45",OPEN
3,4,16,"2025-02-18 09:22:34",OPEN
4,10,10,"2025-02-16 14:06:49",OPEN
4,9,11,"2025-02-18 09:25:01",OPEN
5,6,34,"2025-02-16 14:05:15",OPEN
5,15,25,"2025-02-18 09:26:19",OPEN
6,19,1,"2025-02-16 14:01:58",OPEN
6,0,20,"2025-02-18 09:22:27",OPEN
7,28,1,"2025-02-16 14:01:58",OPEN
7,7,22,"2025-02-18 09:25:34",OPEN
8,24,6,"2025-02-16 14:02:51",OPEN
8,7,21,"2025-02-18 09:27:49",OPEN
9,23,1,"2025-02-16 14:07:15",OPEN
9,11,13,"2025-02-18 09:21:47",OPEN
10,16,0,"2025-02-16 14:06:45",OPEN
10,3,12,"2025-02-18 09:26:12",OPEN
11,0,30,"2025-02-16 14:01:14",OPEN
11,15,15,"2025-02-18 09:21:57",OPEN
12,3,17,"2025-02-16 14:01:31",OPEN
12,0,20,"2025-02-18 09:21:18",OPEN
13,7,23,"2025-02-16 14:02:05",OPEN
13,4,26,"2025-02-18 09:20:36",OPEN
14,30,0,"2025-02-16 14:04:20",OPEN
14,2,28,"2025-02-18 09:26:30",OPEN
15,1,15,"2025-02-16 14:04:30",OPEN
15,1,15,"2025-02-18 09:22:51",OPEN
16,20,0,"2025-02-16 14:03:46",OPEN
16,1,19,"2025-02-18 09:22:12",OPEN
17,12,8,"2025-02-16 14:02:35",OPEN
17,6,13,"2025-02-18 09:25:05",OPEN
18,1,29,"2025-02-16 14:04:37",OPEN
18,3,27,"2025-02-18 09:24:49",OPEN
19,11,19,"2025-02-16 14:03:16",OPEN
19,30,0,"2025-02-18 09:27:38",OPEN
20,1,29,"2025-02-16 14:04:52",OPEN
20,30,0,"2025-02-18 09:22:42",OPEN
21,29,1,"2025-02-16 14:02:04",OPEN
21,25,4,"2025-02-18 09:25:28",OPEN
22,13,7,"2025-02-16 14:03:32",OPEN
22,15,5,"2025-02-18 09:23:37",OPEN
23,22,8,"2025-02-16 14:08:28",OPEN
23,6,24,"2025-02-18 09:25:48",OPEN
24,20,0,"2025-02-16 14:05:13",OPEN
24,11,9,"2025-02-18 09:23:49",OPEN
25,12,18,"2025-02-16 14:04:22",OPEN
25,26,3,"2025-02-18 09:27:34",OPEN
26,19,1,"2025-02-16 13:59:24",OPEN
26,8,12,"2025-02-18 09:21:56",OPEN
27,19,1,"2025-02-16 14:06:52",OPEN
27,17,3,"2025-02-18 09:23:29",OPEN
28,9,21,"2025-02-16 14:07:16",OPEN
28,0,30,"2025-02-18 09:23:26",OPEN
29,28,1,"2025-02-16 14:02:44",OPEN
29,7,22,"2025-02-18 09:26:02",OPEN
30,5,15,"2025-02-16 14:03:57",OPEN
30,6,14,"2025-02-18 09:22:11",OPEN
31,16,4,"2025-02-16 14:02:23",OPEN
31,13,7,"2025-02-18 09:22:20",OPEN
32,21,9,"2025-02-16 14:00:30",OPEN
32,9,21,"2025-02-18 09:25:18",OPEN
33,17,6,"2025-02-16 14:06:50",OPEN
33,14,9,"2025-02-18 09:22:50",OPEN
34,0,30,"2025-02-16 14:04:24",OPEN
34,3,27,"2025-02-18 09:27:12",OPEN
35,27,3,"2025-02-16 14:06:16",OPEN
35,17,13,"2025-02-18 09:22:52",OPEN
36,28,12,"2025-02-16 14:01:55",OPEN
36,28,12,"2025-02-18 09:21:45",OPEN
37,15,15,"2025-02-16 14:03:44",OPEN
37,9,21,"2025-02-18 09:20:00",OPEN
38,39,0,"2025-02-16 14:05:40",OPEN
38,17,20,"2025-02-18 09:27:32",OPEN
39,1,19,"2025-02-16 14:07:45",OPEN
39,4,16,"2025-02-18 09:22:15",OPEN
40,21,0,"2025-02-16 14:06:10",OPEN
40,6,15,"2025-02-18 09:24:56",OPEN
41,0,20,"2025-02-16 14:00:10",OPEN
41,3,17,"2025-02-18 09:27:30",OPEN
42,27,3,"2025-02-16 14:01:19",OPEN
42,15,14,"2025-02-18 09:19:32",OPEN
43,3,27,"2025-02-16 14:04:04",OPEN
43,0,30,"2025-02-18 09:23:02",OPEN
44,0,30,"2025-02-16 14:05:06",OPEN
44,7,23,"2025-02-18 09:24:09",OPEN
45,28,2,"2025-02-16 14:06:18",OPEN
45,4,26,"2025-02-18 09:25:43",OPEN
47,4,36,"2025-02-16 14:05:53",OPEN
47,18,21,"2025-02-18 09:24:25",OPEN
48,18,22,"2025-02-16 14:01:04",OPEN
48,19,21,"2025-02-18 09:22:50",OPEN
49,3,37,"2025-02-16 14:03:09",OPEN
49,20,20,"2025-02-18 09:26:00",OPEN
50,0,40,"2025-02-16 14:04:18",OPEN
50,3,37,"2025-02-18 09:25:00",OPEN
51,0,0,"2025-02-16 13:59:31",OPEN
51,0,0,"2025-02-18 09:21:38",OPEN
52,32,0,"2025-02-16 14:00:52",OPEN
52,13,18,"2025-02-18 09:23:36",OPEN
53,11,29,"2025-02-16 14:04:00",OPEN
53,16,24,"2025-02-18 09:22:13",OPEN
54,8,25,"2025-02-16 14:08:41",OPEN
54,12,20,"2025-02-18 09:21:09",OPEN
55,3,33,"2025-02-16 14:04:05",OPEN
55,23,13,"2025-02-18 09:27:38",OPEN
56,29,11,"2025-02-16 14:00:06",OPEN
56,27,13,"2025-02-18 09:27:46",OPEN
57,12,11,"2025-02-16 14:00:40",OPEN
57,16,7,"2025-02-18 09:21:29",OPEN
58,36,4,"2025-02-16 14:03:04",OPEN
58,38,2,"2025-02-18 09:25:33",OPEN
59,0,20,"2025-02-16 14:02:51",OPEN
59,3,17,"2025-02-18 09:25:46",OPEN
60,0,30,"2025-02-16 14:08:21",OPEN
60,4,25,"2025-02-18 09:27:38",OPEN
61,0,25,"2025-02-16 13:59:29",OPEN
61,2,23,"2025-02-18 09:17:57",OPEN
62,23,17,"2025-02-16 14:01:20",OPEN
62,29,11,"2025-02-18 09:23:18",OPEN
63,24,11,"2025-02-16 14:02:10",OPEN
63,8,27,"2025-02-18 09:24:34",OPEN
64,3,37,"2025-02-16 14:02:59",OPEN
64,17,23,"2025-02-18 09:27:02",OPEN
65,2,38,"2025-02-16 14:03:40",OPEN
65,34,6,"2025-02-18 09:26:42",OPEN
66,7,33,"2025-02-16 14:02:06",OPEN
66,19,21,"2025-02-18 09:26:37",OPEN
67,4,36,"2025-02-16 14:08:46",OPEN
67,9,31,"2025-02-18 09:27:03",OPEN
68,1,39,"2025-02-16 14:02:44",OPEN
68,39,0,"2025-02-18 09:22:47",OPEN
69,15,25,"2025-02-16 14:05:43",OPEN
69,38,2,"2025-02-18 09:27:29",OPEN
71,2,38,"2025-02-16 14:01:41",OPEN
71,9,31,"2025-02-18 09:25:09",OPEN
72,6,25,"2025-02-16 14:08:27",OPEN
72,1,30,"2025-02-18 09:19:46",OPEN
73,9,21,"2025-02-16 14:02:47",OPEN
73,5,25,"2025-02-18 09:26:31",OPEN
74,4,26,"2025-02-16 14:02:58",OPEN
74,4,25,"2025-02-18 09:24:08",OPEN
75,6,34,"2025-02-16 14:04:14",OPEN
75,12,28,"2025-02-18 09:25:56",OPEN
76,2,36,"2025-02-16 14:05:02",OPEN
76,2,36,"2025-02-18 09:20:20",OPEN
77,15,14,"2025-02-16 14:07:47",OPEN
77,1,28,"2025-02-18 09:20:55",OPEN
78,3,37,"2025-02-16 14:06:31",OPEN
78,10,30,"2025-02-18 09:23:08",OPEN
79,0,27,"2025-02-16 14:02:27",OPEN
79,6,21,"2025-02-18 09:23:29",OPEN
80,16,24,"2025-02-16 14:08:10",OPEN
80,17,21,"2025-02-18 09:22:53",OPEN
82,4,18,"2025-02-16 14:02:06",OPEN
82,3,19,"2025-02-18 09:21:39",OPEN
83,23,17,"2025-02-16 14:02:32",OPEN
83,7,33,"2025-02-18 09:22:45",OPEN
84,0,30,"2025-02-16 14:04:41",OPEN
84,10,20,"2025-02-18 09:25:10",OPEN
85,3,32,"2025-02-16 14:04:03",OPEN
85,16,19,"2025-02-18 09:24:55",OPEN
86,29,9,"2025-02-16 14:02:38",OPEN
86,0,38,"2025-02-18 09:25:02",OPEN
87,20,18,"2025-02-16 14:04:44",OPEN
87,2,36,"2025-02-18 09:26:18",OPEN
88,1,29,"2025-02-16 14:03:57",OPEN
88,7,23,"2025-02-18 09:22:15",OPEN
89,2,38,"2025-02-16 14:06:50",OPEN
89,12,28,"2025-02-18 09:27:34",OPEN
90,2,38,"2025-02-16 14:03:57",OPEN
90,32,8,"2025-02-18 09:26:24",OPEN
91,28,2,"2025-02-16 14:08:11",OPEN
91,20,9,"2025-02-18 09:24:15",OPEN
92,32,8,"2025-02-16 14:03:08",OPEN
92,1,39,"2025-02-18 09:21:37",OPEN
93,31,9,"2025-02-16 14:01:37",OPEN
93,0,40,"2025-02-18 09:22:07",OPEN
94,35,5,"2025-02-16 14:02:58",OPEN
94,1,39,"2025-02-18 09:24:33",OPEN
95,1,39,"2025-02-16 14:04:57",OPEN
95,28,12,"2025-02-18 09:25:30",OPEN
96,8,22,"2025-02-16 14:01:15",OPEN
96,2,28,"2025-02-18 09:19:58",OPEN
97,3,37,"2025-02-16 14:01:26",OPEN
97,13,27,"2025-02-18 09:21:30",OPEN
98,21,19,"2025-02-16 14:08:40",OPEN
98,22,16,"2025-02-18 09:20:39",OPEN
99,7,23,"2025-02-16 14:03:29",OPEN
99,14,16,"2025-02-18 09:24:53",OPEN
100,16,9,"2025-02-16 14:07:46",OPEN
100,0,25,"2025-02-18 09:18:36",OPEN
101,3,27,"2025-02-16 14:01:26",OPEN
101,6,24,"2025-02-18 09:19:14",OPEN
102,1,39,"2025-02-16 14:04:31",OPEN
102,5,35,"2025-02-18 09:26:15",OPEN
103,10,30,"2025-02-16 14:04:00",OPEN
103,7,32,"2025-02-18 09:25:21",OPEN
104,0,40,"2025-02-16 14:03:41",OPEN
104,16,23,"2025-02-18 09:21:23",OPEN
105,6,30,"2025-02-16 14:05:51",OPEN
105,10,26,"2025-02-18 09:22:34",OPEN
106,12,28,"2025-02-16 14:01:45",OPEN
106,7,33,"2025-02-18 09:20:30",OPEN
107,2,38,"2025-02-16 14:02:24",OPEN
107,10,30,"2025-02-18 09:21:30",OPEN
108,2,33,"2025-02-16 14:06:06",OPEN
108,0,35,"2025-02-18 09:17:44",OPEN
109,15,14,"2025-02-16 14:03:37",OPEN
109,29,0,"2025-02-18 09:21:26",OPEN
110,1,39,"2025-02-16 14:07:29",OPEN
110,13,27,"2025-02-18 09:24:06",OPEN
111,0,40,"2025-02-16 14:01:22",OPEN
111,2,38,"2025-02-18 09:18:07",OPEN
112,5,25,"2025-02-16 14:05:57",OPEN
112,0,30,"2025-02-18 09:24:47",OPEN
113,16,13,"2025-02-16 14:02:23",OPEN
113,19,10,"2025-02-18 09:20:51",OPEN
114,19,21,"2025-02-16 14:03:54",OPEN
114,19,21,"2025-02-18 09:26:29",OPEN
115,10,20,"2025-02-16 14:07:24",OPEN
115,5,25,"2025-02-18 09:23:48",OPEN
116,10,20,"2025-02-16 14:00:17",OPEN
116,1,29,"2025-02-18 09:26:59",OPEN
117,2,38,"2025-02-16 14:08:36",OPEN
117,39,0,"2025-02-18 09:20:59",OPEN
